D6h	E	2C6(z)	2C3	C2	3C'2	3C''2	i	2S3	2S6	sigh(xy)	3sigd	3sigv
A1g	+1	+1	+1	+1	+1	+1	+1	+1	+1	+1	+1	+1
A2g	+1	+1	+1	+1	-1	-1	+1	+1	+1	+1	-1	-1
B1g	+1	-1	+1	-1	+1	-1	+1	-1	+1	-1	+1	-1
B2g	+1	-1	+1	-1	-1	+1	+1	-1	+1	-1	-1	+1
E1g	+2	+1	-1	-2	0	0	+2	+1	-1	-2	0	0
E2g	+2	-1	-1	+2	0	0	+2	-1	-1	+2	0	0
A1u	+1	+1	+1	+1	+1	+1	-1	-1	-1	-1	-1	-1
A2u	+1	+1	+1	+1	-1	-1	-1	-1	-1	-1	+1	+1
B1u	+1	-1	+1	-1	+1	-1	-1	+1	-1	+1	-1	+1
B2u	+1	-1	+1	-1	-1	+1	-1	+1	-1	+1	+1	-1
E1u	+2	+1	-1	-2	0	0	-2	-1	+1	+2	0	0
E2u	+2	-1	-1	+2	0	0	-2	+1	+1	-2	0	0
