D8h	E	2C8	2(C8)3	2C4	C2(z)	4C2'	4C2''	i	2(S8)3	2S8	2S4	sigh	4sigv	4sigd
A1g	+1	+1	+1	+1	+1	+1	+1	+1	+1	+1	+1	+1	+1	+1
A2g	+1	+1	+1	+1	+1	-1	-1	+1	+1	+1	+1	+1	-1	-1
B1g	+1	-1	-1	+1	+1	+1	-1	+1	-1	-1	+1	+1	+1	-1
B2g	+1	-1	-1	+1	+1	-1	+1	+1	-1	-1	+1	+1	-1	+1
E1g	+2	+(2)½	-(2)½	0	-2	0	0	+2	+(2)½	-(2)½	0	-2	0	0
E2g	+2	0	0	-2	+2	0	0	+2	0	0	-2	+2	0	0
E3g	+2	-(2)½	+(2)½	0	-2	0	0	+2	-(2)½	+(2)½	0	-2	0	0
A1u	+1	+1	+1	+1	+1	+1	+1	-1	-1	-1	-1	-1	-1	-1
A2u	+1	+1	+1	+1	+1	-1	-1	-1	-1	-1	-1	-1	+1	+1
B1u	+1	-1	-1	+1	+1	+1	-1	-1	+1	+1	-1	-1	-1	+1
B2u	+1	-1	-1	+1	+1	-1	+1	-1	+1	+1	-1	-1	+1	-1
E1u	+2	+(2)½	-(2)½	0	-2	0	0	-2	-(2)½	+(2)½	0	+2	0	0
E2u	+2	0	0	-2	+2	0	0	-2	0	0	+2	-2	0	0
E3u	+2	-(2)½	+(2)½	0	-2	0	0	-2	+(2)½	-(2)½	0	+2	0	0
